2026-05-15 02:31:19 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Inserted 1063 new articles
2026-05-15 02:31:19 | INFO     | scheduler | Got 0 recent articles for clustering
2026-05-15 02:31:19 | WARNING  | scheduler | No recent articles to process
2026-05-15 02:31:19 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:19 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:20 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:20 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:20 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:20 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:20 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:22 | INFO     | main | Initializing database...
2026-05-15 02:31:22 | INFO     | main | Database initialized.
2026-05-15 02:31:22 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:22 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:22 | INFO     | scheduler | Scheduler started — pipeline runs every 6 hours
2026-05-15 02:31:22 | INFO     | main | Initializing database...
2026-05-15 02:31:22 | INFO     | main | Database initialized.
2026-05-15 02:31:22 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:22 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:23 | INFO     | main | Initializing database...
2026-05-15 02:31:23 | INFO     | main | Database initialized.
2026-05-15 02:31:23 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:23 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:23 | INFO     | main | Initializing database...
2026-05-15 02:31:23 | INFO     | main | Database initialized.
2026-05-15 02:31:23 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:23 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:23 | INFO     | main | Initializing database...
2026-05-15 02:31:23 | INFO     | main | Database initialized.
2026-05-15 02:31:23 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:23 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:24 | INFO     | main | Initializing database...
2026-05-15 02:31:24 | INFO     | main | Database initialized.
2026-05-15 02:31:24 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:24 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:24 | INFO     | main | Initializing database...
2026-05-15 02:31:24 | INFO     | main | Database initialized.
2026-05-15 02:31:24 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:24 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:25 | INFO     | main | Initializing database...
2026-05-15 02:31:25 | INFO     | main | Database initialized.
2026-05-15 02:31:25 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:25 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:25 | INFO     | main | Initializing database...
2026-05-15 02:31:25 | INFO     | main | Database initialized.
2026-05-15 02:31:25 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:25 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:25 | INFO     | main | Initializing database...
2026-05-15 02:31:25 | INFO     | main | Database initialized.
2026-05-15 02:31:25 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:25 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:26 | INFO     | main | Initializing database...
2026-05-15 02:31:26 | INFO     | main | Database initialized.
2026-05-15 02:31:26 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:26 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:26 | INFO     | main | Initializing database...
2026-05-15 02:31:26 | INFO     | main | Database initialized.
2026-05-15 02:31:26 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:26 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:26 | INFO     | main | Initializing database...
2026-05-15 02:31:26 | INFO     | main | Database initialized.
2026-05-15 02:31:26 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:26 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:27 | INFO     | main | Initializing database...
2026-05-15 02:31:27 | INFO     | main | Database initialized.
2026-05-15 02:31:27 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:27 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:27 | INFO     | main | Initializing database...
2026-05-15 02:31:27 | INFO     | main | Database initialized.
2026-05-15 02:31:27 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:27 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:27 | INFO     | main | Initializing database...
2026-05-15 02:31:27 | INFO     | main | Database initialized.
2026-05-15 02:31:27 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:27 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:28 | INFO     | main | Initializing database...
2026-05-15 02:31:28 | INFO     | main | Database initialized.
2026-05-15 02:31:28 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:28 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:28 | INFO     | main | Initializing database...
2026-05-15 02:31:28 | INFO     | main | Database initialized.
2026-05-15 02:31:28 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:31:28 | INFO     | scheduler | Fetching articles...
2026-05-15 02:31:40 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:40 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:41 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:41 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:41 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:41 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:42 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Inserted 1063 new articles
2026-05-15 02:31:43 | INFO     | scheduler | Got 0 recent articles for clustering
2026-05-15 02:31:43 | WARNING  | scheduler | No recent articles to process
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Cleaned 1063 articles
2026-05-15 02:31:43 | INFO     | scheduler | Fetched 1063 articles
2026-05-15 02:33:17 | INFO     | main | Initializing database...
2026-05-15 02:33:17 | INFO     | main | Database initialized.
2026-05-15 02:33:17 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:17 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:17 | INFO     | scheduler | Scheduler started — pipeline runs every 6 hours
2026-05-15 02:33:17 | INFO     | main | Initializing database...
2026-05-15 02:33:17 | INFO     | main | Database initialized.
2026-05-15 02:33:17 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:17 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:18 | INFO     | main | Initializing database...
2026-05-15 02:33:18 | INFO     | main | Database initialized.
2026-05-15 02:33:18 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:18 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:18 | INFO     | main | Initializing database...
2026-05-15 02:33:18 | INFO     | main | Database initialized.
2026-05-15 02:33:18 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:18 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:18 | INFO     | main | Initializing database...
2026-05-15 02:33:18 | INFO     | main | Database initialized.
2026-05-15 02:33:18 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:18 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:19 | INFO     | main | Initializing database...
2026-05-15 02:33:19 | INFO     | main | Database initialized.
2026-05-15 02:33:19 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:19 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:19 | INFO     | main | Initializing database...
2026-05-15 02:33:19 | INFO     | main | Database initialized.
2026-05-15 02:33:19 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:19 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:19 | INFO     | main | Initializing database...
2026-05-15 02:33:19 | INFO     | main | Database initialized.
2026-05-15 02:33:19 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:19 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:20 | INFO     | main | Initializing database...
2026-05-15 02:33:20 | INFO     | main | Database initialized.
2026-05-15 02:33:20 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:20 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:20 | INFO     | main | Initializing database...
2026-05-15 02:33:20 | INFO     | main | Database initialized.
2026-05-15 02:33:20 | INFO     | scheduler | === Pipeline start ===
2026-05-15 02:33:20 | INFO     | scheduler | Fetching articles...
2026-05-15 02:33:20 | INFO     | main | Initializing database...
2026-05-15 02:33:20 | INFO     | main | Database initialized.
2026-05-15 02:33:20 | INFO     | scheduler | === Pipeline start ===
